"","country","year","upop"
"68","Spain","X1960",56.567
"69","Estonia","X1960",57.533
"70","Ethiopia","X1960",6.433
"71","European Union","X1960",61.21289776
"72","Fragile and conflict affected situations","X1960",17.68009898
"73","Finland","X1960",55.29
"74","Fiji","X1960",29.681
"75","France","X1960",61.88
"76","Faroe Islands","X1960",21.383
"77","Micronesia, Fed. Sts.","X1960",22.312
"78","Gabon","X1960",17.398
"79","United Kingdom","X1960",78.444
"80","Georgia","X1960",43.069
"81","Ghana","X1960",23.252
"82","Gibraltar","X1960",100
"83","Guinea","X1960",10.472
"84","Gambia, The","X1960",12.129
"85","Guinea-Bissau","X1960",13.6
"86","Equatorial Guinea","X1960",25.537
"87","Greece","X1960",55.936
"88","Grenada","X1960",30.332
"89","Greenland","X1960",58.534
"90","Guatemala","X1960",31.121
"91","Guam","X1960",50.147
"92","Guyana","X1960",29.009
"93","High income","X1960",63.83825294
"94","Hong Kong SAR, China","X1960",85.2
"95","Honduras","X1960",22.747
"96","Heavily indebted poor countries (HIPC)","X1960",12.2360458
"97","Croatia","X1960",30.154
"98","Haiti","X1960",15.593
"99","Hungary","X1960",55.911
"100","IBRD only","X1960",26.25074257
"101","IDA & IBRD total","X1960",23.94554336
"102","IDA total","X1960",13.79619922
"103","IDA blend","X1960",18.73350882
"104","Indonesia","X1960",14.586
"105","IDA only","X1960",10.71039131
"106","Isle of Man","X1960",55.123
"107","India","X1960",17.924
"108","Not classified","X1960",NA
"109","Ireland","X1960",45.822
"110","Iran, Islamic Rep.","X1960",33.735
"111","Iraq","X1960",42.899
"112","Iceland","X1960",80.3
"113","Israel","X1960",76.848
"114","Italy","X1960",59.361
"115","Jamaica","X1960",33.769
"116","Jordan","X1960",50.879
"117","Japan","X1960",63.272
"118","Kazakhstan","X1960",44.198
"119","Kenya","X1960",7.362
"120","Kyrgyz Republic","X1960",34.181
"121","Cambodia","X1960",10.285
"122","Kiribati","X1960",16.29
"123","St. Kitts and Nevis","X1960",27.644
"124","Korea, Rep.","X1960",27.71
"125","Kosovo","X1960",NA
"126","Kuwait","X1960",74.893
"127","Latin America & Caribbean (excluding high income)","X1960",45.59762349
"128","Lao PDR","X1960",7.946
"129","Lebanon","X1960",42.343
"130","Liberia","X1960",18.632
"131","Libya","X1960",27.323
"132","St. Lucia","X1960",21.46
"133","Latin America & Caribbean","X1960",49.28333829
"134","Least developed countries: UN classification","X1960",9.616261212
"135","Low income","X1960",11.77962698
"136","Liechtenstein","X1960",20.437
"137","Sri Lanka","X1960",16.431
"138","Lower middle income","X1960",19.74188304
"139","Low & middle income","X1960",23.14565654
"140","Lesotho","X1960",3.512
"141","Late-demographic dividend","X1960",26.16889032
"142","Lithuania","X1960",39.46
"143","Luxembourg","X1960",69.556
"144","Latvia","X1960",52.867
"145","Macao SAR, China","X1960",95.289
"146","St. Martin (French part)","X1960",NA
"147","Morocco","X1960",29.357
"148","Monaco","X1960",100
"149","Moldova","X1960",23.424
"150","Madagascar","X1960",10.642
"151","Maldives","X1960",11.173
"152","Middle East & North Africa","X1960",34.95806854
"153","Mexico","X1960",50.753
"154","Marshall Islands","X1960",35.584
"155","Middle income","X1960",23.98259735
"156","Macedonia, FYR","X1960",34.02
"157","Mali","X1960",11.066
"158","Malta","X1960",90.129
"159","Myanmar","X1960",19.226
"160","Middle East & North Africa (excluding high income)","X1960",33.88276251
"161","Montenegro","X1960",18.788
"162","Mongolia","X1960",35.679
"163","Northern Mariana Islands","X1960",51.219
"164","Mozambique","X1960",4.769
"165","Mauritania","X1960",6.88
"166","Mauritius","X1960",33.177
"167","Malawi","X1960",4.39
"168","Malaysia","X1960",26.598
"169","North America","X1960",69.91840256
"170","Namibia","X1960",17.909
"171","New Caledonia","X1960",37.36
"172","Niger","X1960",5.793
"173","Nigeria","X1960",15.41
"174","Nicaragua","X1960",39.581
"175","Netherlands","X1960",59.752
"176","Norway","X1960",49.92
"177","Nepal","X1960",3.48
"178","Nauru","X1960",100
"179","New Zealand","X1960",75.998
"180","OECD members","X1960",62.48091537
"181","Oman","X1960",16.4
"182","Other small states","X1960",27.19917239
"183","Pakistan","X1960",22.104
"184","Panama","X1960",41.249
"185","Peru","X1960",46.811
"186","Philippines","X1960",30.297
"187","Palau","X1960",56.823
"188","Papua New Guinea","X1960",3.725
"189","Poland","X1960",47.892
"190","Pre-demographic dividend","X1960",13.35446583
"191","Puerto Rico","X1960",44.547
"192","Korea, Dem. People‰Ûªs Rep.","X1960",40.195
"193","Portugal","X1960",34.955
"194","Paraguay","X1960",35.569
"195","Pacific island small states","X1960",22.44290201
"196","Post-demographic dividend","X1960",63.12578717
"197","French Polynesia","X1960",42.281
"198","Qatar","X1960",85.275
"199","Romania","X1960",34.209
"200","Russian Federation","X1960",53.731
"201","Rwanda","X1960",2.6
"202","South Asia","X1960",16.73554548
"203","Saudi Arabia","X1960",31.25
"204","Sudan","X1960",10.746
"205","Senegal","X1960",23
"206","Singapore","X1960",100
"207","Solomon Islands","X1960",5.768
"208","Sierra Leone","X1960",17.352
"209","El Salvador","X1960",38.345
"210","San Marino","X1960",48.9
"211","Somalia","X1960",17.312
"212","Serbia","X1960",NA
"213","Sub-Saharan Africa (excluding high income)","X1960",14.62900386
"214","South Sudan","X1960",8.748
"215","Sub-Saharan Africa","X1960",14.63138673
"216","Small states","X1960",28.2038966
"217","Sao Tome and Principe","X1960",16.073
"218","Suriname","X1960",47.26
"219","Slovak Republic","X1960",33.464
"220","Slovenia","X1960",28.204
"221","Sweden","X1960",72.49
"222","Swaziland","X1960",3.913
"223","Sint Maarten (Dutch part)","X1960",100
"224","Seychelles","X1960",27.673
"225","Syrian Arab Republic","X1960",36.807
"226","Turks and Caicos Islands","X1960",47.679
"227","Chad","X1960",6.695
"228","East Asia & Pacific (IDA & IBRD countries)","X1960",16.61651907
"229","Europe & Central Asia (IDA & IBRD countries)","X1960",45.00168274
"230","Togo","X1960",10.098
"231","Thailand","X1960",19.672
"232","Tajikistan","X1960",33.168
"233","Turkmenistan","X1960",46.412
"234","Latin America & the Caribbean (IDA & IBRD countries)","X1960",49.01837695
"235","Middle East & North Africa (IDA & IBRD countries)","X1960",33.88276251
"236","Timor-Leste","X1960",10.091
"237","Tonga","X1960",17.552
"238","South Asia (IDA & IBRD)","X1960",16.73554548
"239","Sub-Saharan Africa (IDA & IBRD countries)","X1960",14.63138673
"240","Trinidad and Tobago","X1960",17.349
"241","Tunisia","X1960",37.511
"242","Turkey","X1960",31.515
"243","Tuvalu","X1960",15.895
"244","Tanzania","X1960",5.246
"245","Uganda","X1960",4.417
"246","Ukraine","X1960",46.792
"247","Upper middle income","X1960",27.45547289
"248","Uruguay","X1960",80.241
"249","United States","X1960",69.996
"250","Uzbekistan","X1960",33.978
"251","St. Vincent and the Grenadines","X1960",25.943
"252","Venezuela, RB","X1960",61.613
"253","British Virgin Islands","X1960",12.228
"254","Virgin Islands (U.S.)","X1960",56.477
"255","Vietnam","X1960",14.7
"256","Vanuatu","X1960",10.404
"257","West Bank and Gaza","X1960",NA
"258","World","X1960",33.55834651
"259","Samoa","X1960",18.926
"260","Yemen, Rep.","X1960",9.1
"261","South Africa","X1960",46.619
"262","Congo, Dem. Rep.","X1960",22.3
"263","Zambia","X1960",18.145
"264","Zimbabwe","X1960",12.608
"265","Aruba","X1961",50.761
"266","Andorra","X1961",60.983
"267","Afghanistan","X1961",8.508
"268","Angola","X1961",10.798
"269","Albania","X1961",30.943
"270","Arab World","X1961",32.03687897
"271","United Arab Emirates","X1961",74.383
"272","Argentina","X1961",74.217
"273","Armenia","X1961",52.147
"274","American Samoa","X1961",66.641
"275","Antigua and Barbuda","X1961",39.04
"276","Australia","X1961",81.941
"277","Austria","X1961",64.814
"278","Azerbaijan","X1961",52.364
"279","Burundi","X1961",2.115
"280","Belgium","X1961",92.554
"281","Benin","X1961",9.856
"282","Burkina Faso","X1961",4.796
"283","Bangladesh","X1961",5.278
"284","Bulgaria","X1961",38.782
"285","Bahrain","X1961",82.337
"286","Bahamas, The","X1961",60.454
"287","Bosnia and Herzegovina","X1961",19.686
"288","Belarus","X1961",33.522
"289","Belize","X1961",53.72
"290","Bermuda","X1961",100
"291","Bolivia","X1961",37.059
"292","Brazil","X1961",47.122
"293","Barbados","X1961",36.849
"294","Brunei Darussalam","X1961",45.228
"295","Bhutan","X1961",3.792
"296","Botswana","X1961",3.097
"297","Central African Republic","X1961",20.751
"298","Canada","X1961",69.668
"299","Central Europe and the Baltics","X1961",45.20666532
"300","Switzerland","X1961",51.671
"301","Channel Islands","X1961",38.436
"302","Chile","X1961",68.66
"303","China","X1961",16.708
"304","Cote d'Ivoire","X1961",18.911
"305","Cameroon","X1961",14.488
"306","Congo, Rep.","X1961",32.318
"307","Colombia","X1961",46.327
"308","Comoros","X1961",13.348
"309","Cabo Verde","X1961",16.948
"310","Costa Rica","X1961",34.329
"311","Caribbean small states","X1961",31.81902661
"312","Cuba","X1961",58.588
"313","Curacao","X1961",75.102
"314","Cayman Islands","X1961",100
"315","Cyprus","X1961",36.175
"316","Czech Republic","X1961",60.063
"317","Germany","X1961",71.697
"318","Djibouti","X1961",51.448
"319","Dominica","X1961",37.912
"320","Denmark","X1961",74.417
"321","Dominican Republic","X1961",31.141
"322","Algeria","X1961",31.797
"323","East Asia & Pacific (excluding high income)","X1961",17.39094091
"324","Early-demographic dividend","X1961",23.25032878
"325","East Asia & Pacific","X1961",23.12252813
"326","Europe & Central Asia (excluding high income)","X1961",45.6653235
"327","Europe & Central Asia","X1961",55.91588215
"328","Ecuador","X1961",34.466
"329","Egypt, Arab Rep.","X1961",38.272
"330","Euro area","X1961",62.57528534
"331","Eritrea","X1961",10.059
"332","Spain","X1961",57.303
"333","Estonia","X1961",58.304
"334","Ethiopia","X1961",6.65
"335","European Union","X1961",61.67360739
"336","Fragile and conflict affected situations","X1961",18.17468443
"337","Finland","X1961",56.321
"338","Fiji","X1961",30.248
"339","France","X1961",62.607
"340","Faroe Islands","X1961",22.141
"341","Micronesia, Fed. Sts.","X1961",22.553
"342","Gabon","X1961",18.33
"343","United Kingdom","X1961",78.374
"344","Georgia","X1961",43.559
"345","Ghana","X1961",23.797
"346","Gibraltar","X1961",100
"347","Guinea","X1961",10.936
"348","Gambia, The","X1961",12.331
"349","Guinea-Bissau","X1961",13.747
"350","Equatorial Guinea","X1961",26.144
"351","Greece","X1961",56.453
"352","Grenada","X1961",30.519
"353","Greenland","X1961",59.806
"354","Guatemala","X1961",31.768
"355","Guam","X1961",51.23
"356","Guyana","X1961",29.049
"357","High income","X1961",64.3384682
"358","Hong Kong SAR, China","X1961",85.293
"359","Honduras","X1961",23.318
"360","Heavily indebted poor countries (HIPC)","X1961",12.58314258
"361","Croatia","X1961",31.04
"362","Haiti","X1961",15.975
"363","Hungary","X1961",56.335
"364","IBRD only","X1961",26.83423568
"365","IDA & IBRD total","X1961",24.45079693
"366","IDA total","X1961",14.0936151
"367","IDA blend","X1961",19.06982754
"368","Indonesia","X1961",14.821
"369","IDA only","X1961",10.98982946
"370","Isle of Man","X1961",55.345
"371","India","X1961",18.032
"372","Not classified","X1961",NA
"373","Ireland","X1961",46.24
"374","Iran, Islamic Rep.","X1961",34.389
"375","Iraq","X1961",44.432
"376","Iceland","X1961",80.803
"377","Israel","X1961",77.985
"378","Italy","X1961",59.856
"379","Jamaica","X1961",34.5
"380","Jordan","X1961",52.412
"381","Japan","X1961",64.213
"382","Kazakhstan","X1961",44.746
"383","Kenya","X1961",7.565
"384","Kyrgyz Republic","X1961",34.511
"385","Cambodia","X1961",10.293
"386","Kiribati","X1961",16.918
"387","St. Kitts and Nevis","X1961",28.269
"388","Korea, Rep.","X1961",28.531
"389","Kosovo","X1961",NA
"390","Kuwait","X1961",75.787
"391","Latin America & Caribbean (excluding high income)","X1961",46.45918696
"392","Lao PDR","X1961",8.02
"393","Lebanon","X1961",44.039
"394","Liberia","X1961",19.291
"395","Libya","X1961",28.197
"396","St. Lucia","X1961",21.696
"397","Latin America & Caribbean","X1961",50.07210681
"398","Least developed countries: UN classification","X1961",9.862259113
"399","Low income","X1961",12.07993991
"400","Liechtenstein","X1961",20.315
"401","Sri Lanka","X1961",16.592
"402","Lower middle income","X1961",19.97273191
"403","Low & middle income","X1961",23.64787034
"404","Lesotho","X1961",3.96
"405","Late-demographic dividend","X1961",26.93287205
"406","Lithuania","X1961",40.443
"407","Luxembourg","X1961",69.927
"408","Latvia","X1961",53.663
"409","Macao SAR, China","X1961",95.328
"410","St. Martin (French part)","X1961",NA
"411","Morocco","X1961",29.849
"412","Monaco","X1961",100
"413","Moldova","X1961",24.216
"414","Madagascar","X1961",10.971
"415","Maldives","X1961",11.23
"416","Middle East & North Africa","X1961",35.71367466
"417","Mexico","X1961",51.59
"418","Marshall Islands","X1961",36.959
"419","Middle income","X1961",24.50774521
"420","Macedonia, FYR","X1961",35.214
"421","Mali","X1961",11.361
"422","Malta","X1961",90.069
"423","Myanmar","X1961",19.566
"424","Middle East & North Africa (excluding high income)","X1961",34.60192578
"425","Montenegro","X1961",19.502
"426","Mongolia","X1961",37.682
"427","Northern Mariana Islands","X1961",52.741
"428","Mozambique","X1961",4.949
"429","Mauritania","X1961",7.435
"430","Mauritius","X1961",33.637
"431","Malawi","X1961",4.489
"432","Malaysia","X1961",27.241
"433","North America","X1961",70.31954524
"434","Namibia","X1961",18.334
"435","New Caledonia","X1961",38.781
"436","Niger","X1961",5.896
"437","Nigeria","X1961",15.633
"438","Nicaragua","X1961",40.03
"439","Netherlands","X1961",60.02
"440","Norway","X1961",50.998
"441","Nepal","X1961",3.571
"442","Nauru","X1961",100
"443","New Zealand","X1961",76.525
"444","OECD members","X1961",62.97235592
"445","Oman","X1961",17.475
"446","Other small states","X1961",27.62301696
"447","Pakistan","X1961",22.501
"448","Panama","X1961",41.853
"449","Peru","X1961",47.398
"450","Philippines","X1961",30.555
"451","Palau","X1961",57.114
"452","Papua New Guinea","X1961",4.024
"453","Poland","X1961",48.527
"454","Pre-demographic dividend","X1961",13.71144985
"455","Puerto Rico","X1961",45.933
"456","Korea, Dem. People‰Ûªs Rep.","X1961",41.162
"457","Portugal","X1961",35.344
"458","Paraguay","X1961",35.67
"459","Pacific island small states","X1961",22.87919723
"460","Post-demographic dividend","X1961",63.64567057
"461","French Polynesia","X1961",43.217
"462","Qatar","X1961",85.693
"463","Romania","X1961",34.894
"464","Russian Federation","X1961",54.626
"465","Rwanda","X1961",2.654
"466","South Asia","X1961",16.86698109
"467","Saudi Arabia","X1961",32.373
"468","Sudan","X1961",11.232
"469","Senegal","X1961",23.645
"470","Singapore","X1961",100
"471","Solomon Islands","X1961",6.038
"472","Sierra Leone","X1961",17.903
"473","El Salvador","X1961",38.516
"474","San Marino","X1961",50.001
"475","Somalia","X1961",17.835
"476","Serbia","X1961",NA
"477","Sub-Saharan Africa (excluding high income)","X1961",14.94506285
"478","South Sudan","X1961",8.737
"479","Sub-Saharan Africa","X1961",14.94758964
"480","Small states","X1961",28.56481262
"481","Sao Tome and Principe","X1961",16.805
"482","Suriname","X1961",47.297
"483","Slovak Republic","X1961",33.953
"484","Slovenia","X1961",29.107
"485","Sweden","X1961",73.295
"486","Swaziland","X1961",4.335
"487","Sint Maarten (Dutch part)","X1961",100
"488","Seychelles","X1961",28.717
"489","Syrian Arab Republic","X1961",37.399
"490","Turks and Caicos Islands","X1961",48.021
"491","Chad","X1961",6.962
"492","East Asia & Pacific (IDA & IBRD countries)","X1961",17.0765819
"493","Europe & Central Asia (IDA & IBRD countries)","X1961",45.74443606
"494","Togo","X1961",10.94
"495","Thailand","X1961",19.781
"496","Tajikistan","X1961",33.56
"497","Turkmenistan","X1961",46.557
"498","Latin America & the Caribbean (IDA & IBRD countries)","X1961",49.82349745
"499","Middle East & North Africa (IDA & IBRD countries)","X1961",34.60192578
"500","Timor-Leste","X1961",10.243
"501","Tonga","X1961",17.929
"502","South Asia (IDA & IBRD)","X1961",16.86698109
"503","Sub-Saharan Africa (IDA & IBRD countries)","X1961",14.94758964
"504","Trinidad and Tobago","X1961",16.712
"505","Tunisia","X1961",37.95
"506","Turkey","X1961",32.064
"507","Tuvalu","X1961",16.444
"508","Tanzania","X1961",5.394
"509","Uganda","X1961",4.617
"510","Ukraine","X1961",47.542
"511","Upper middle income","X1961",28.29070733
"512","Uruguay","X1961",80.462
"513","United States","X1961",70.377
"514","Uzbekistan","X1961",34.238
"515","St. Vincent and the Grenadines","X1961",26.394
"516","Venezuela, RB","X1961",62.875
"517","British Virgin Islands","X1961",12.618
"518","Virgin Islands (U.S.)","X1961",57.864
"519","Vietnam","X1961",15.031
"520","Vanuatu","X1961",10.583
"521","West Bank and Gaza","X1961",NA
"522","World","X1961",34.0739143
"523","Samoa","X1961",18.986
"524","Yemen, Rep.","X1961",9.459
"525","South Africa","X1961",46.793
"526","Congo, Dem. Rep.","X1961",22.523
"527","Zambia","X1961",18.951
"528","Zimbabwe","X1961",12.821
"529","Aruba","X1962",50.746
"530","Andorra","X1962",63.462
"531","Afghanistan","X1962",8.805
"532","Angola","X1962",11.204
"533","Albania","X1962",31.015
"534","Arab World","X1962",32.78444119
"535","United Arab Emirates","X1962",75.248
"536","Argentina","X1962",74.767
"537","Armenia","X1962",53.019
"538","American Samoa","X1962",67.068
"539","Antigua and Barbuda","X1962",38.427
"540","Australia","X1962",82.337
"541","Austria","X1962",64.863
"542","Azerbaijan","X1962",52.064
"543","Burundi","X1962",2.154
"544","Belgium","X1962",92.679
"545","Benin","X1962",10.47
"546","Burkina Faso","X1962",4.893
"547","Bangladesh","X1962",5.498
"548","Bulgaria","X1962",40.494
"549","Bahrain","X1962",82.355
"550","Bahamas, The","X1962",61.193
"551","Bosnia and Herzegovina","X1962",20.437
"552","Belarus","X1962",34.663
"553","Belize","X1962",53.41
"554","Bermuda","X1962",100
"555","Bolivia","X1962",37.357
"556","Brazil","X1962",48.099
"557","Barbados","X1962",36.922
"558","Brunei Darussalam","X1962",47.07
"559","Bhutan","X1962",3.999
"560","Botswana","X1962",3.134
"561","Central African Republic","X1962",21.418
"562","Canada","X1962",70.494
"563","Central Europe and the Baltics","X1962",45.8665647
"564","Switzerland","X1962",52.309
"565","Channel Islands","X1962",38.172
"566","Chile","X1962",69.435
"567","China","X1962",17.226
"568","Cote d'Ivoire","X1962",20.21
"569","Cameroon","X1962",15.058
"570","Congo, Rep.","X1962",33.045
"571","Colombia","X1962",47.628
"572","Comoros","X1962",14.189
"573","Cabo Verde","X1962",17.224
"574","Costa Rica","X1962",34.404
"575","Caribbean small states","X1962",32.05786052
"576","Cuba","X1962",58.776
"577","Curacao","X1962",75.49
"578","Cayman Islands","X1962",100
"579","Cyprus","X1962",36.674
"580","Czech Republic","X1962",60.555
"581","Germany","X1962",71.762
"582","Djibouti","X1962",52.619
"583","Dominica","X1962",37.979
"584","Denmark","X1962",75.093
"585","Dominican Republic","X1962",32.094
"586","Algeria","X1962",33.214
"587","East Asia & Pacific (excluding high income)","X1962",17.86273603
"588","Early-demographic dividend","X1962",23.58487277
"589","East Asia & Pacific","X1962",23.65150554
"590","Europe & Central Asia (excluding high income)","X1962",46.41640645
"591","Europe & Central Asia","X1962",56.45040167
"592","Ecuador","X1962",35.06
"593","Egypt, Arab Rep.","X1962",38.624
"594","Euro area","X1962",63.0685782
"595","Eritrea","X1962",10.377
"596","Spain","X1962",58.308
"597","Estonia","X1962",59.072
"598","Ethiopia","X1962",6.874
"599","European Union","X1962",62.12602785
"600","Fragile and conflict affected situations","X1962",18.68648239
"601","Finland","X1962",57.162
"602","Fiji","X1962",30.823
"603","France","X1962",63.489
"604","Faroe Islands","X1962",22.962
"605","Micronesia, Fed. Sts.","X1962",22.797
"606","Gabon","X1962",19.594
"607","United Kingdom","X1962",78.237
"608","Georgia","X1962",44.051
"609","Ghana","X1962",24.352
"610","Gibraltar","X1962",100
"611","Guinea","X1962",11.418
"612","Gambia, The","X1962",12.535
"613","Guinea-Bissau","X1962",13.895
"614","Equatorial Guinea","X1962",26.234
"615","Greece","X1962",57.34
"616","Grenada","X1962",30.707
"617","Greenland","X1962",61.406
"618","Guatemala","X1962",32.424
"619","Guam","X1962",52.314
"620","Guyana","X1962",29.089
"621","High income","X1962",64.84428904
"622","Hong Kong SAR, China","X1962",85.582
"623","Honduras","X1962",23.9
"624","Heavily indebted poor countries (HIPC)","X1962",12.94174489
"625","Croatia","X1962",32.001
"626","Haiti","X1962",16.365
"627","Hungary","X1962",56.758
"628","IBRD only","X1962",27.37115652
"629","IDA & IBRD total","X1962",24.92941213
"630","IDA total","X1962",14.39081975
"631","IDA blend","X1962",19.37230439
"632","Indonesia","X1962",15.058
"633","IDA only","X1962",11.28959403
"634","Isle of Man","X1962",55.586
"635","India","X1962",18.218
"636","Not classified","X1962",NA
"637","Ireland","X1962",46.856
"638","Iran, Islamic Rep.","X1962",35.051
"639","Iraq","X1962",45.978
"640","Iceland","X1962",81.297
"641","Israel","X1962",78.754
"642","Italy","X1962",60.355
"643","Jamaica","X1962",35.239
"644","Jordan","X1962",53.215
"645","Japan","X1962",65.144
"646","Kazakhstan","X1962",45.296
"647","Kenya","X1962",7.774
"648","Kyrgyz Republic","X1962",34.844
"649","Cambodia","X1962",10.333
"650","Kiribati","X1962",17.566
"651","St. Kitts and Nevis","X1962",28.903
"652","Korea, Rep.","X1962",29.461
"653","Kosovo","X1962",NA
"654","Kuwait","X1962",76.66
"655","Latin America & Caribbean (excluding high income)","X1962",47.34082574
"656","Lao PDR","X1962",8.095
"657","Lebanon","X1962",45.752
"658","Liberia","X1962",19.969
"659","Libya","X1962",29.089
"660","St. Lucia","X1962",21.934
"661","Latin America & Caribbean","X1962",50.87134811
"662","Least developed countries: UN classification","X1962",10.12944635
"663","Low income","X1962",12.37726738
"664","Liechtenstein","X1962",20.102
"665","Sri Lanka","X1962",16.753
"666","Lower middle income","X1962",20.23811736
"667","Low & middle income","X1962",24.130835
"668","Lesotho","X1962",4.464
"669","Late-demographic dividend","X1962",27.5895762
"670","Lithuania","X1962",41.435
"671","Luxembourg","X1962",70.443
"672","Latvia","X1962",54.459
"673","Macao SAR, China","X1962",95.556
"674","St. Martin (French part)","X1962",NA
"675","Morocco","X1962",30.345
"676","Monaco","X1962",100
"677","Moldova","X1962",25.027
"678","Madagascar","X1962",11.309
"679","Maldives","X1962",11.288
"680","Middle East & North Africa","X1962",36.47972592
"681","Mexico","X1962",52.428
"682","Marshall Islands","X1962",38.358
"683","Middle income","X1962",25.00759992
"684","Macedonia, FYR","X1962",36.473
"685","Mali","X1962",11.662
"686","Malta","X1962",90.008
"687","Myanmar","X1962",19.91
"688","Middle East & North Africa (excluding high income)","X1962",35.32129905
"689","Montenegro","X1962",20.237
"690","Mongolia","X1962",39.73
"691","Northern Mariana Islands","X1962",54.26
"692","Mozambique","X1962",5.144
"693","Mauritania","X1962",8.031
"694","Mauritius","X1962",34.103
"695","Malawi","X1962",4.59
"696","Malaysia","X1962",27.895
"697","North America","X1962",70.73978371
"698","Namibia","X1962",18.748
"699","New Caledonia","X1962",40.224
"700","Niger","X1962",6
"701","Nigeria","X1962",15.858
"702","Nicaragua","X1962",40.481
"703","Netherlands","X1962",60.204
"704","Norway","X1962",52.653
"705","Nepal","X1962",3.612
"706","Nauru","X1962",100
"707","New Zealand","X1962",77.133
"708","OECD members","X1962",63.46448957
"709","Oman","X1962",18.607
"710","Other small states","X1962",28.07490214
"711","Pakistan","X1962",22.751
"712","Panama","X1962",42.494
"713","Peru","X1962",48.514
"714","Philippines","X1962",30.816
"715","Palau","X1962",57.405
"716","Papua New Guinea","X1962",4.347
"717","Poland","X1962",48.926
"718","Pre-demographic dividend","X1962",14.08013605
"719","Puerto Rico","X1962",47.327
"720","Korea, Dem. People‰Ûªs Rep.","X1962",42.136
"721","Portugal","X1962",35.722
"722","Paraguay","X1962",35.771
"723","Pacific island small states","X1962",23.3259895
"724","Post-demographic dividend","X1962",64.17571688
"725","French Polynesia","X1962",44.16
"726","Qatar","X1962",86.101
"727","Romania","X1962",35.586
"728","Russian Federation","X1962",55.518
"729","Rwanda","X1962",2.71
"730","South Asia","X1962",17.05441032
"731","Saudi Arabia","X1962",33.518
"732","Sudan","X1962",11.737
"733","Senegal","X1962",24.303
"734","Singapore","X1962",100
"735","Solomon Islands","X1962",6.321
"736","Sierra Leone","X1962",18.467
"737","El Salvador","X1962",38.614
"738","San Marino","X1962",51.104
"739","Somalia","X1962",18.372
"740","Serbia","X1962",NA
"741","Sub-Saharan Africa (excluding high income)","X1962",15.25768932
"742","South Sudan","X1962",8.725
"743","Sub-Saharan Africa","X1962",15.26036203
"744","Small states","X1962",28.94943795
"745","Sao Tome and Principe","X1962",17.969
"746","Suriname","X1962",47.335
"747","Slovak Republic","X1962",34.714
"748","Slovenia","X1962",29.934
"749","Sweden","X1962",74.271
"750","Swaziland","X1962",4.8
"751","Sint Maarten (Dutch part)","X1962",100
"752","Seychelles","X1962",29.786
"753","Syrian Arab Republic","X1962",38.044
"754","Turks and Caicos Islands","X1962",48.364
"755","Chad","X1962",7.239
"756","East Asia & Pacific (IDA & IBRD countries)","X1962",17.54023936
"757","Europe & Central Asia (IDA & IBRD countries)","X1962",46.46521616
"758","Togo","X1962",11.844
"759","Thailand","X1962",19.89
"760","Tajikistan","X1962",33.955
"761","Turkmenistan","X1962",46.702
